,ONE_DAY_PRECIPITATION,MIN_TEMP,MAX_TEMP,year_month,Station
133, 0.0,-13.4, -6.2,2016-02,MIS
134, 7.0,-7.5, 1.4,2016-03,MIS
135, 0.0,1.7, 15.4,2016-04,MIS
136, 3.0,1.6, 19.3,2016-05,MIS
137, 0.0,2.8, 15.1,2016-06,MIS
138, 0.0,5.8, 16.9,2016-07,MIS
139, 2.0,5.4, 18.7,2016-08,MIS
140, 1.0,2.3, 13.1,2016-09,MIS
141, 0.0,-2.1, 5.6,2016-10,MIS
142, 4.0,-3.0, -0.2,2016-11,MIS
143, 1.0,-9.0, -4.2,2016-12,MIS
144, 1.0,-19.6, -11.5,2017-01,MIS
145, 0.0,-17.0, -9.6,2017-02,MIS
146, 2.0,-9.3, -4.2,2017-03,MIS
147, 4.0,-4.2, 1.8,2017-04,MIS
148, 2.0,-4.4, 4.2,2017-05,MIS
149, 0.0,1.8, 10.7,2017-06,MIS
150, 0.0,8.3, 21.6,2017-07,MIS
151, 0.0,10.8, 22.7,2017-08,MIS
152, 0.0,7.6, 21.1,2017-09,MIS
153, 2.0,-1.8, 2.3,2017-10,MIS
154, 13.0,-6.8, 1.0,2017-11,MIS
155, 10.0,-6.5, -4.3,2017-12,MIS
156, 0.0,-8.7, 4.3,2018-01,MIS
157, 0.0,-8.9, -5.5,2018-02,MIS
158, 7.0,-8.4, 0.1,2018-03,MIS
159, 21.0,-12.4, -3.2,2018-04,MIS
160, 0.0,-0.9, 11.2,2018-05,MIS
161, 0.0,-0.7, 9.8,2018-06,MIS
162, 2.0,-0.1, 12.4,2018-07,MIS
163, 8.0,7.0, 22.6,2018-08,MIS
164, 0.0,3.1, 14.2,2018-09,MIS
165, 13.0,-4.7, 3.9,2018-10,MIS
166, 10.0,-0.3, 3.9,2018-11,MIS
167, 0.0,-8.3, -5.0,2018-12,MIS
168, 1.0,-9.0, -0.9,2019-01,MIS
169, 12.0,-4.4, -2.8,2019-02,MIS
170, 0.0,-13.4, -3.8,2019-03,MIS
171, 1.0,-2.8, 8.3,2019-04,MIS
172, 0.0,-2.8, 7.4,2019-05,MIS
173, 0.0,5.7, 16.5,2019-07,MIS
174, 1.0,6.1, 13.1,2019-08,MIS
175, 0.0,6.0, 17.2,2019-09,MIS
176, 0.0,-2.7, 6.2,2019-10,MIS
177, 0.0,-4.4, 10.4,2019-11,MIS
178, 0.0,-10.0, 1.0,2019-12,MIS
179, 1.0,-8.3, 0.8,2020-01,MIS
180, 8.0,-12.3, -0.7,2020-02,MIS
181, 1.0,-10.9, -5.1,2020-03,MIS
182, 0.1,-14.9, 3.5,2020-04,MIS
183, 0.0,-3.4, 14.5,2020-05,MIS
184, 0.0,-0.5, 13.6,2020-06,MIS
185, 26.3,2.6, 4.4,2020-07,MIS
186, 0.0,8.6, 26.6,2020-08,MIS
187, 0.0,6.1, 20.4,2020-09,MIS
188, 0.0,9.4, 17.0,2020-10,MIS
189, 0.0,-2.5, 11.9,2020-11,MIS
190, 0.6,-9.1, 2.1,2020-12,MIS
191, 6.8,-4.3, -0.2,2021-01,MIS
192, 2.0,-5.6, -2.2,2021-02,MIS
193, 0.5,-5.7, -0.6,2021-03,MIS
194, 0.3,-4.6, 7.4,2021-04,MIS
195, 0.0,-3.0, 10.3,2021-05,MIS
196, 0.4,6.3, 23.3,2021-06,MIS
197, 0.0,11.2, 23.7,2021-07,MIS
198, 1.6,11.4, 20.8,2021-08,MIS
199, 0.3,1.4, 9.3,2021-09,MIS
200, 0.7,-1.4, 7.1,2021-10,MIS
201, 1.4,-5.2, 11.6,2021-11,MIS
202, 21.0,-2.6, 0.8,2021-12,MIS
203, 8.3,-19.9, -9.3,2022-01,MIS
204, 1.9,-17.2, -8.1,2022-02,MIS
205, 5.2,-3.6, 3.3,2022-03,MIS
206, 0.3,-7.3, -0.5,2022-04,MIS
207, 0.4,-4.1, 10.0,2022-05,MIS
208, 0.6,1.8, 18.1,2022-06,MIS
209, 0.1,4.5, 21.4,2022-07,MIS
210, 0.0,10.6, 23.9,2022-08,MIS
211, 0.0,10.7, 25.4,2022-09,MIS
212, 0.0,6.6, 20.8,2022-10,MIS
213, 0.4,-9.9, -1.5,2022-11,MIS
214, 0.2,-25.6, -12.1,2022-12,MIS
215, 0.1,-8.7, -2.0,2023-01,MIS
216, 0.7,-13.6, -7.3,2023-03,MIS
217, 5.7,-6.5, 0.0,2023-04,MIS
218, 8.2,1.2, 6.1,2023-05,MIS
219, 0.0,-0.7, 15.1,2023-06,MIS
220, 0.1,4.5, 18.7,2023-07,MIS
221, 0.0,4.7, 21.6,2023-08,MIS
222, 0.0,5.6, 18.7,2023-09,MIS
223, 3.1,-1.0, 11.0,2023-10,MIS
224, 2.9,-1.0, 3.8,2023-11,MIS
225, 1.8,-8.1, -3.3,2023-12,MIS
226, 0.0,-5.0, -1.8,2005-01,DCN
227, 0.1,2.4, 5.0,2005-02,DCN
228, 0.0,1.4, 6.9,2005-03,DCN
229, 13.7,3.5, 7.2,2005-04,DCN
230, 0.0,6.1, 16.3,2005-05,DCN
231, 11.8,10.7, 15.6,2005-06,DCN
232, 0.2,13.6, 22.7,2005-07,DCN
233, 2.5,14.5, 27.0,2005-08,DCN
234, 0.1,9.3, 20.9,2005-09,DCN
235, 8.3,6.5, 11.5,2005-10,DCN
236, 9.5,4.0, 7.0,2005-11,DCN
237, 1.1,-4.2, -2.0,2005-12,DCN
238, 1.4,0.7, 3.5,2006-01,DCN
239, 3.7,1.4, 4.0,2006-02,DCN
240, 0.5,-0.7, 5.2,2006-03,DCN
241, 0.0,4.4, 13.1,2006-04,DCN
242, 2.3,5.1, 9.4,2006-05,DCN
243, 0.0,13.3, 24.1,2006-06,DCN
244, 5.9,14.9, 26.1,2006-07,DCN
245, 0.2,10.3, 20.4,2006-08,DCN
246, 0.0,7.2, 20.0,2006-09,DCN
247, 0.0,7.8, 17.1,2006-10,DCN
248, 0.0,-6.2, 1.3,2006-11,DCN
249, 1.1,-6.2, -2.8,2006-12,DCN
250, 4.8,-2.8, -0.8,2007-01,DCN
251, 0.0,-7.6, -2.8,2007-02,DCN
252, 1.1,-2.4, 1.8,2007-03,DCN
253, 0.0,1.7, 9.5,2007-04,DCN
254, 4.1,6.3, 10.4,2007-05,DCN
255, 0.0,13.6, 27.9,2007-06,DCN
256, 0.0,9.7, 23.7,2007-07,DCN
257, 0.0,14.8, 28.3,2007-08,DCN
258, 0.2,13.8, 23.9,2007-09,DCN
259, 4.1,7.5, 11.9,2007-10,DCN
260, 2.7,-0.1, 6.1,2007-11,DCN
261, 1.0,-10.2, -5.6,2007-12,DCN
262, 0.0,-4.1, -1.5,2008-01,DCN
263, 0.9,-2.4, 0.1,2008-02,DCN
264, 2.4,1.1, 5.9,2008-03,DCN
265, 0.0,-2.6, 4.8,2008-04,DCN
266, 0.0,1.5, 11.9,2008-05,DCN
267, 1.6,11.6, 18.5,2008-06,DCN
268, 0.0,17.5, 25.9,2008-07,DCN
269, 16.4,12.1, 19.5,2008-08,DCN
270, 0.4,8.0, 14.5,2008-09,DCN
271, 0.0,10.2, 17.7,2008-10,DCN
272, 0.9,7.5, 10.3,2008-11,DCN
273, 2.1,3.5, 6.7,2008-12,DCN
274, 4.1,-4.6, -1.8,2009-01,DCN
275, 0.3,-0.8, 1.3,2009-03,DCN
276, 0.0,-1.5, 5.9,2009-04,DCN
277, 0.0,1.8, 15.7,2009-05,DCN
278, 0.0,11.8, 22.5,2009-06,DCN
279, 0.0,12.1, 24.1,2009-07,DCN
280, 0.0,16.6, 28.8,2009-08,DCN
281, 3.4,16.0, 27.6,2009-09,DCN
282, 0.1,6.1, 11.6,2009-10,DCN
283, 0.7,0.3, 6.8,2009-11,DCN
284, 0.4,-4.0, 1.6,2009-12,DCN
285, 11.5,-1.4, 0.5,2010-01,DCN
286, 0.3,1.0, 2.8,2010-02,DCN
287, 0.0,0.6, 8.7,2010-03,DCN
288, 0.5,0.3, 9.1,2010-04,DCN
289, 4.7,5.1, 10.7,2010-05,DCN
290, 2.0,10.8, 14.4,2010-06,DCN
291, 0.0,10.0, 18.0,2010-07,DCN
292, 9.3,14.6, 18.8,2010-08,DCN
293, 3.8,9.9, 17.0,2010-09,DCN
294, 0.0,7.5, 17.2,2010-10,DCN
295, 6.8,6.5, 9.9,2010-11,DCN
296, 0.3,-0.7, 0.9,2010-12,DCN
297, 1.5,-9.2, -6.6,2011-01,DCN
298, 0.0,-13.6, -7.3,2011-02,DCN
299, 3.3,-4.8, -0.2,2011-03,DCN
300, 7.5,2.7, 8.3,2011-04,DCN
301, 0.0,2.1, 15.1,2011-05,DCN
302, 3.3,8.0, 14.2,2011-06,DCN
303, 0.0,8.7, 16.3,2011-07,DCN
304, 0.0,40.4, 13.9,2011-08,DCN
305, 0.0,-1.7, 2.0,2011-12,DCN
306, 0.0,-3.8, -0.9,2012-01,DCN
307, 3.2,0.8, 1.6,2012-02,DCN
308, 2.6,-2.4, 2.3,2012-03,DCN
309, 0.7,1.9, 6.6,2012-04,DCN
310, 0.8,6.3, 11.7,2012-05,DCN
311, 14.4,11.2, 13.1,2012-06,DCN
312, 0.0,13.2, 25.2,2012-08,DCN
313, 0.0,9.8, 19.1,2012-09,DCN
314, 0.0,8.6, 20.8,2012-10,DCN
315, 11.6,7.1, 8.9,2012-11,DCN
316, 7.7,5.2, 7.4,2012-12,DCN
317, 0.0,-1.9, -0.3,2013-01,DCN
318, 0.1,0.8, 3.0,2013-02,DCN
319, 15.3,2.1, 5.8,2013-03,DCN
320, 0.0,2.5, 16.3,2013-04,DCN
321, 0.0,0.1, 13.1,2013-05,DCN
322, 0.0,8.0, 15.0,2013-06,DCN
323, 0.0,17.5, 30.1,2013-07,DCN
324, 18.0,15.6, 25.1,2013-08,DCN
325, 0.0,12.9, 23.6,2013-09,DCN
326, 10.9,4.4, 9.9,2013-10,DCN
327, 0.0,3.3, 7.6,2013-11,DCN
328, 18.7,0.8, 3.0,2013-12,DCN
329, 0.2,0.6, 2.1,2014-01,DCN
330, 0.0,-9.5, -5.3,2014-02,DCN
331, 0.0,-10.3, -4.3,2014-03,DCN
332, 0.5,1.8, 10.5,2014-04,DCN
333, 0.0,6.6, 22.4,2014-05,DCN
334, 0.0,11.1, 22.9,2014-06,DCN
335, 0.0,12.8, 27.0,2014-07,DCN
336, 0.0,17.3, 29.4,2014-08,DCN
337, 0.0,12.4, 17.6,2014-09,DCN
338, 3.0,7.5, 14.5,2014-10,DCN
339, 4.0,8.4, 11.2,2014-11,DCN
340, 0.0,-9.7, -5.5,2014-12,DCN
341, 0.0,-9.0, -4.1,2015-01,DCN
342, 6.0,-0.8, 0.7,2015-02,DCN
343, 0.0,-2.5, 4.3,2015-03,DCN
344, 0.0,2.7, 9.1,2015-04,DCN
345, 5.0,7.6, 13.3,2015-05,DCN
346, 0.0,13.6, 23.9,2015-06,DCN
347, 0.0,16.9, 29.5,2015-07,DCN
348, 0.0,14.6, 33.3,2015-08,DCN
349, 0.0,12.0, 17.9,2015-09,DCN
350, 0.0,9.9, 17.9,2015-10,DCN
351, 16.0,5.2, 8.9,2015-11,DCN
352, 0.7,-2.0, -0.7,2015-12,DCN
353, 0.0,-10.7, -7.1,2016-01,DCN
354, 0.0,-0.4, 1.6,2016-02,DCN
355, 7.0,0.6, 1.9,2016-03,DCN
356, 0.0,3.8, 16.5,2016-04,DCN
357, 0.0,7.1, 21.3,2016-05,DCN
358, 0.0,11.1, 18.4,2016-06,DCN
359, 0.0,16.5, 25.8,2016-07,DCN
360, 0.0,11.4, 25.0,2016-08,DCN
361, 0.0,13.5, 23.9,2016-09,DCN
362, 29.0,8.4, 14.3,2016-10,DCN
363, 4.0,6.5, 9.6,2016-11,DCN
364, 0.0,2.4, 4.6,2016-12,DCN
365, 2.2,-7.6, -2.0,2017-01,DCN
366, 0.0,-10.7, -3.7,2017-02,DCN
367, 3.0,-2.7, 1.6,2017-03,DCN
368, 3.0,3.8, 8.9,2017-04,DCN
369, 3.2,4.5, 14.0,2017-05,DCN
370, 5.0,13.2, 17.4,2017-06,DCN
371, 0.0,17.6, 28.3,2017-07,DCN
372, 0.0,16.7, 30.4,2017-08,DCN
373, 0.0,13.7, 25.6,2017-09,DCN
374, 0.0,7.2, 14.4,2017-10,DCN
375, 4.0,1.7, 5.7,2017-11,DCN
376, 0.0,3.7, 5.4,2017-12,DCN
377, 0.0,-12.6, -7.8,2018-01,DCN
378, 5.0,-0.8, 0.8,2018-02,DCN
379, 0.0,-0.4, 3.7,2018-03,DCN
380, 0.0,-0.2, 2.9,2018-04,DCN
381, 1.0,6.3, 15.7,2018-05,DCN
382, 5.0,10.5, 16.3,2018-06,DCN
383, 8.0,11.4, 17.1,2018-07,DCN
384, 0.0,19.9, 31.7,2018-08,DCN
385, 0.0,12.0, 20.7,2018-09,DCN
386, 16.0,6.1, 9.7,2018-10,DCN
387, 11.0,6.6, 7.9,2018-11,DCN
388, 1.0,1.2, 4.0,2018-12,DCN
389, 0.0,-5.2, -1.2,2019-01,DCN
390, 12.0,-0.5, 3.1,2019-02,DCN
391, 0.0,-3.3, 0.6,2019-03,DCN
392, 0.0,3.6, 13.1,2019-04,DCN
393, 1.0,5.1, 12.9,2019-05,DCN
394, 0.0,14.3, 27.4,2019-06,DCN
395, 0.0,12.3, 23.5,2019-07,DCN
396, 0.0,14.6, 29.3,2019-08,DCN
397, 0.0,15.6, 23.0,2019-09,DCN
398, 0.0,4.2, 11.1,2019-10,DCN
399, 0.0,-1.9, 4.7,2019-11,DCN
400, 1.0,-4.0, -0.8,2019-12,DCN
401, 12.0,1.1, 2.6,2020-01,DCN
402, 9.4,-0.3, 7.3,2020-02,DCN
403, 0.0,0.9, 5.9,2020-03,DCN
404, 2.0,0.7, 4.9,2020-04,DCN
405, 0.0,5.0, 15.4,2020-05,DCN
406, 2.0,9.4, 15.9,2020-06,DCN
407, 0.0,12.5, 16.9,2020-07,DCN
408, 0.0,19.7, 29.4,2020-08,DCN
409, 0.0,15.1, 19.8,2020-09,DCN
410, 0.0,-1.2, 5.7,2021-11,DCN
411, None,8.6, 10.9,2021-12,DCN
412, None,-15.2, -8.0,2022-01,DCN
413, None,-4.5, -1.0,2022-02,DCN
414, None,1.2, 1.3,2022-03,DCN
415, None,2.3, 10.7,2022-04,DCN
416, None,7.0, 17.1,2022-05,DCN
417, None,10.0, 23.0,2022-06,DCN
418, None,14.0, 25.7,2022-07,DCN
419, None,16.5, 31.8,2022-08,DCN
420, None,16.7, 28.1,2022-09,DCN
421, None,7.7, 20.7,2022-10,DCN
422, None,2.9, 5.3,2022-11,DCN
423, None,-11.0, -3.0,2022-12,DCN
424, None,-0.1, 2.5,2023-01,DCN
425, None,-3.3, 1.5,2023-03,DCN
426, None,0.9, 4.9,2023-04,DCN
427, None,6.7, 24.2,2023-05,DCN
428, None,12.5, 25.5,2023-06,DCN
429, None,16.0, 30.5,2023-07,DCN
430, None,14.0, 29.4,2023-08,DCN
431, None,13.8, 23.4,2023-09,DCN
432, None,8.7, 15.2,2023-10,DCN
433, None,-0.7, 4.3,2023-11,DCN
434, None,-2.9, -1.0,2023-12,DCN
435, 0.1,-1.5, 4.2,2005-01,CQM
436, 3.6,3.7, 7.4,2005-02,CQM
437, 29.6,2.8, 6.8,2005-03,CQM
438, 46.9,2.0, 7.0,2005-04,CQM
439, 0.0,5.4, 19.8,2005-05,CQM
440, 9.3,10.0, 13.7,2005-06,CQM
441, 1.1,10.0, 14.1,2005-07,CQM
442, 2.3,9.1, 23.8,2005-08,CQM
443, 0.0,10.4, 22.4,2005-09,CQM
444, 6.0,5.4, 10.7,2005-10,CQM
445, 22.4,3.6, 6.8,2005-11,CQM
446, 0.6,-4.2, 0.1,2005-12,CQM
447, 31.6,4.2, 6.3,2006-01,CQM
448, 52.0,0.4, 3.7,2006-02,CQM
449, 1.0,-0.1, 3.0,2006-03,CQM
450, 7.2,0.3, 5.6,2006-04,CQM
451, 0.7,0.6, 12.3,2006-05,CQM
452, 31.9,10.3, 17.2,2006-06,CQM
453, 0.0,7.7, 27.9,2006-07,CQM
454, 0.0,8.8, 21.8,2006-08,CQM
455, 0.0,6.3, 26.4,2006-09,CQM
456, 0.0,4.5, 13.6,2006-10,CQM
457, 0.0,-3.6, 2.6,2006-11,CQM
458, 0.0,-3.5, -0.2,2006-12,CQM
459, 63.8,3.5, 8.2,2007-01,CQM
460, 0.0,-4.7, 0.0,2007-02,CQM
461, 0.0,-6.6, 1.4,2007-03,CQM
462, 4.5,-0.3, 4.4,2007-04,CQM
463, 2.4,5.3, 11.7,2007-05,CQM
464, 0.0,6.8, 28.6,2007-06,CQM
465, 0.0,5.4, 22.7,2007-07,CQM
466, 0.0,8.3, 28.6,2007-08,CQM
467, 0.0,7.6, 20.0,2007-09,CQM
468, 28.0,8.5, 10.2,2007-10,CQM
469, 1.2,-0.2, 6.9,2007-11,CQM
470, 11.4,-3.4, -2.6,2007-12,CQM
471, 0.0,-2.1, 0.5,2008-01,CQM
472, 5.4,-0.2, 1.6,2008-02,CQM
473, 5.9,-1.5, 4.2,2008-03,CQM
474, 0.0,-4.2, 6.5,2008-04,CQM
475, 3.8,-1.0, 6.3,2008-05,CQM
476, 4.8,7.3, 10.7,2008-06,CQM
477, 0.1,9.9, 26.3,2008-07,CQM
478, 22.8,9.7, 14.2,2008-08,CQM
479, 0.2,6.4, 15.3,2008-09,CQM
480, 0.0,7.5, 19.8,2008-10,CQM
481, 21.1,7.2, 10.2,2008-11,CQM
482, 9.0,4.2, 7.4,2008-12,CQM
483, 8.4,-0.6, -0.2,2009-01,CQM
484, 13.7,0.3, 0.9,2009-02,CQM
485, 28.3,0.6, 3.9,2009-03,CQM
486, 14.0,0.0, 2.8,2009-04,CQM
487, 0.0,-0.4, 18.7,2009-05,CQM
488, 0.0,7.6, 28.2,2009-06,CQM
489, 0.0,5.6, 26.9,2009-07,CQM
490, 0.0,14.5, 30.3,2009-08,CQM
491, 3.1,12.8, 18.3,2009-09,CQM
492, 18.2,6.6, 9.3,2009-10,CQM
493, 5.6,2.1, 7.7,2009-11,CQM
494, 0.0,-2.4, 3.7,2009-12,CQM
495, 92.8,1.1, 7.2,2010-01,CQM
496, 5.8,1.8, 7.2,2010-02,CQM
497, 0.0,2.4, 10.0,2010-03,CQM
498, 22.2,-1.1, 4.9,2010-04,CQM
499, 3.7,4.7, 12.9,2010-05,CQM
500, 8.4,9.4, 13.1,2010-06,CQM
501, 1.2,6.7, 13.0,2010-07,CQM
502, 0.4,14.0, 18.6,2010-08,CQM
503, 0.0,7.0, 19.1,2010-09,CQM
504, 0.0,7.5, 19.5,2010-10,CQM
505, 75.3,4.9, 10.4,2010-11,CQM
506, 12.7,-0.4, 0.8,2010-12,CQM
507, 0.0,-7.5, -3.1,2011-01,CQM
508, 0.0,-5.9, -0.9,2011-02,CQM
509, 12.0,-0.7, 1.4,2011-03,CQM
510, 7.0,1.6, 6.0,2011-04,CQM
511, 0.0,-1.2, 14.9,2011-05,CQM
512, 4.3,4.5, 14.2,2011-06,CQM
513, 0.0,5.6, 17.0,2011-07,CQM
514, 0.0,6.2, 24.8,2011-08,CQM
515, 0.0,9.1, 16.0,2011-09,CQM
516, 0.0,6.5, 11.5,2011-10,CQM
517, 0.1,-0.6, 6.6,2011-11,CQM
518, 0.0,-2.2, 0.3,2011-12,CQM
519, 0.0,-1.0, 1.4,2012-01,CQM
520, 15.9,-0.4, 1.5,2012-02,CQM
521, 0.0,-1.5, 1.9,2012-03,CQM
522, 17.8,0.1, 8.3,2012-04,CQM
523, 19.1,3.5, 6.9,2012-05,CQM
524, 22.5,7.5, 12.0,2012-06,CQM
525, 0.2,8.1, 14.6,2012-07,CQM
526, 0.0,9.3, 22.9,2012-08,CQM
527, 0.0,5.4, 20.1,2012-09,CQM
528, 1.5,7.6, 13.6,2012-10,CQM
529, 23.0,8.4, 10.9,2012-11,CQM
530, 67.2,4.8, 6.6,2012-12,CQM
531, 0.0,-4.5, -0.2,2013-01,CQM
532, 9.2,-0.9, 2.3,2013-02,CQM
533, 99.7,1.1, 5.1,2013-03,CQM
534, 0.0,-0.3, 15.0,2013-04,CQM
535, 0.0,-1.9, 16.4,2013-05,CQM
536, 0.0,5.7, 15.4,2013-06,CQM
537, 0.0,11.6, 33.0,2013-07,CQM
538, 2.7,14.1, 20.2,2013-08,CQM
539, 0.0,9.8, 24.1,2013-09,CQM
540, 31.3,5.0, 8.3,2013-10,CQM
541, 24.8,6.7, 8.5,2013-11,CQM
542, 19.6,2.8, 7.6,2013-12,CQM
543, 1.6,-0.3, 4.0,2014-01,CQM
544, 0.0,-4.0, 0.2,2014-02,CQM
545, 2.0,-0.4, 3.3,2014-03,CQM
546, 0.0,-0.5, 14.5,2014-04,CQM
547, 0.0,5.7, 27.0,2014-05,CQM
548, 0.0,6.2, 25.0,2014-06,CQM
