ONE_DAY_PRECIPITATION,MIN_TEMP,MAX_TEMP,Station,Year,Month
 1.0,-10.9, -5.1,MIS,2020,03
 0.1,-14.9, 3.5,MIS,2020,04
 0.0,-3.4, 14.5,MIS,2020,05
 0.0,-0.5, 13.6,MIS,2020,06
 26.3,2.6, 4.4,MIS,2020,07
 0.0,8.6, 26.6,MIS,2020,08
 0.0,6.1, 20.4,MIS,2020,09
 0.0,9.4, 17.0,MIS,2020,10
 0.0,-2.5, 11.9,MIS,2020,11
 0.6,-9.1, 2.1,MIS,2020,12
 6.8,-4.3, -0.2,MIS,2021,01
 2.0,-5.6, -2.2,MIS,2021,02
 0.5,-5.7, -0.6,MIS,2021,03
 0.3,-4.6, 7.4,MIS,2021,04
 0.0,-3.0, 10.3,MIS,2021,05
 0.4,6.3, 23.3,MIS,2021,06
 0.0,11.2, 23.7,MIS,2021,07
 1.6,11.4, 20.8,MIS,2021,08
 0.3,1.4, 9.3,MIS,2021,09
 0.7,-1.4, 7.1,MIS,2021,10
 1.4,-5.2, 11.6,MIS,2021,11
 21.0,-2.6, 0.8,MIS,2021,12
 8.3,-19.9, -9.3,MIS,2022,01
 1.9,-17.2, -8.1,MIS,2022,02
 5.2,-3.6, 3.3,MIS,2022,03
 0.3,-7.3, -0.5,MIS,2022,04
 0.4,-4.1, 10.0,MIS,2022,05
 0.6,1.8, 18.1,MIS,2022,06
 0.1,4.5, 21.4,MIS,2022,07
 0.0,10.6, 23.9,MIS,2022,08
 0.0,10.7, 25.4,MIS,2022,09
 0.0,6.6, 20.8,MIS,2022,10
 0.4,-9.9, -1.5,MIS,2022,11
 0.2,-25.6, -12.1,MIS,2022,12
 0.1,-8.7, -2.0,MIS,2023,01
 0.7,-13.6, -7.3,MIS,2023,03
 5.7,-6.5, 0.0,MIS,2023,04
 8.2,1.2, 6.1,MIS,2023,05
 0.0,-0.7, 15.1,MIS,2023,06
 0.1,4.5, 18.7,MIS,2023,07
 0.0,4.7, 21.6,MIS,2023,08
 0.0,5.6, 18.7,MIS,2023,09
 3.1,-1.0, 11.0,MIS,2023,10
 2.9,-1.0, 3.8,MIS,2023,11
 1.8,-8.1, -3.3,MIS,2023,12
 0.0,-5.0, -1.8,DCN,2005,01
 0.1,2.4, 5.0,DCN,2005,02
 0.0,1.4, 6.9,DCN,2005,03
 13.7,3.5, 7.2,DCN,2005,04
 0.0,6.1, 16.3,DCN,2005,05
 11.8,10.7, 15.6,DCN,2005,06
 0.2,13.6, 22.7,DCN,2005,07
 2.5,14.5, 27.0,DCN,2005,08
 0.1,9.3, 20.9,DCN,2005,09
 8.3,6.5, 11.5,DCN,2005,10
 9.5,4.0, 7.0,DCN,2005,11
 1.1,-4.2, -2.0,DCN,2005,12
 1.4,0.7, 3.5,DCN,2006,01
 3.7,1.4, 4.0,DCN,2006,02
 0.5,-0.7, 5.2,DCN,2006,03
 0.0,4.4, 13.1,DCN,2006,04
 2.3,5.1, 9.4,DCN,2006,05
 0.0,13.3, 24.1,DCN,2006,06
 5.9,14.9, 26.1,DCN,2006,07
 0.2,10.3, 20.4,DCN,2006,08
 0.0,7.2, 20.0,DCN,2006,09
 0.0,7.8, 17.1,DCN,2006,10
 0.0,-6.2, 1.3,DCN,2006,11
 1.1,-6.2, -2.8,DCN,2006,12
 4.8,-2.8, -0.8,DCN,2007,01
 0.0,-7.6, -2.8,DCN,2007,02
 1.1,-2.4, 1.8,DCN,2007,03
 0.0,1.7, 9.5,DCN,2007,04
 4.1,6.3, 10.4,DCN,2007,05
 0.0,13.6, 27.9,DCN,2007,06
 0.0,9.7, 23.7,DCN,2007,07
 0.0,14.8, 28.3,DCN,2007,08
 0.2,13.8, 23.9,DCN,2007,09
 4.1,7.5, 11.9,DCN,2007,10
 2.7,-0.1, 6.1,DCN,2007,11
 1.0,-10.2, -5.6,DCN,2007,12
 0.0,-4.1, -1.5,DCN,2008,01
 0.9,-2.4, 0.1,DCN,2008,02
 2.4,1.1, 5.9,DCN,2008,03
 0.0,-2.6, 4.8,DCN,2008,04
 0.0,1.5, 11.9,DCN,2008,05
 1.6,11.6, 18.5,DCN,2008,06
 0.0,17.5, 25.9,DCN,2008,07
 16.4,12.1, 19.5,DCN,2008,08
 0.4,8.0, 14.5,DCN,2008,09
 0.0,10.2, 17.7,DCN,2008,10
 0.9,7.5, 10.3,DCN,2008,11
 2.1,3.5, 6.7,DCN,2008,12
 4.1,-4.6, -1.8,DCN,2009,01
 0.3,-0.8, 1.3,DCN,2009,03
 0.0,-1.5, 5.9,DCN,2009,04
 0.0,1.8, 15.7,DCN,2009,05
 0.0,11.8, 22.5,DCN,2009,06
 0.0,12.1, 24.1,DCN,2009,07
 0.0,16.6, 28.8,DCN,2009,08
 3.4,16.0, 27.6,DCN,2009,09
 0.1,6.1, 11.6,DCN,2009,10
 0.7,0.3, 6.8,DCN,2009,11
 0.4,-4.0, 1.6,DCN,2009,12
 11.5,-1.4, 0.5,DCN,2010,01
 0.3,1.0, 2.8,DCN,2010,02
 0.0,0.6, 8.7,DCN,2010,03
 0.5,0.3, 9.1,DCN,2010,04
 4.7,5.1, 10.7,DCN,2010,05
 2.0,10.8, 14.4,DCN,2010,06
 0.0,10.0, 18.0,DCN,2010,07
 9.3,14.6, 18.8,DCN,2010,08
 3.8,9.9, 17.0,DCN,2010,09
 0.0,7.5, 17.2,DCN,2010,10
 6.8,6.5, 9.9,DCN,2010,11
 0.3,-0.7, 0.9,DCN,2010,12
 1.5,-9.2, -6.6,DCN,2011,01
 0.0,-13.6, -7.3,DCN,2011,02
 3.3,-4.8, -0.2,DCN,2011,03
 7.5,2.7, 8.3,DCN,2011,04
 0.0,2.1, 15.1,DCN,2011,05
 3.3,8.0, 14.2,DCN,2011,06
 0.0,8.7, 16.3,DCN,2011,07
 0.0,40.4, 13.9,DCN,2011,08
 0.0,-1.7, 2.0,DCN,2011,12
 0.0,-3.8, -0.9,DCN,2012,01
 3.2,0.8, 1.6,DCN,2012,02
 2.6,-2.4, 2.3,DCN,2012,03
 0.7,1.9, 6.6,DCN,2012,04
 0.8,6.3, 11.7,DCN,2012,05
 14.4,11.2, 13.1,DCN,2012,06
 0.0,13.2, 25.2,DCN,2012,08
 0.0,9.8, 19.1,DCN,2012,09
 0.0,8.6, 20.8,DCN,2012,10
 11.6,7.1, 8.9,DCN,2012,11
 7.7,5.2, 7.4,DCN,2012,12
 0.0,-1.9, -0.3,DCN,2013,01
 0.1,0.8, 3.0,DCN,2013,02
 15.3,2.1, 5.8,DCN,2013,03
 0.0,2.5, 16.3,DCN,2013,04
 0.0,0.1, 13.1,DCN,2013,05
 0.0,8.0, 15.0,DCN,2013,06
 0.0,17.5, 30.1,DCN,2013,07
 18.0,15.6, 25.1,DCN,2013,08
 0.0,12.9, 23.6,DCN,2013,09
 10.9,4.4, 9.9,DCN,2013,10
 0.0,3.3, 7.6,DCN,2013,11
 18.7,0.8, 3.0,DCN,2013,12
 0.2,0.6, 2.1,DCN,2014,01
 0.0,-9.5, -5.3,DCN,2014,02
 0.0,-10.3, -4.3,DCN,2014,03
 0.5,1.8, 10.5,DCN,2014,04
 0.0,6.6, 22.4,DCN,2014,05
 0.0,11.1, 22.9,DCN,2014,06
 0.0,12.8, 27.0,DCN,2014,07
 0.0,17.3, 29.4,DCN,2014,08
 0.0,12.4, 17.6,DCN,2014,09
 3.0,7.5, 14.5,DCN,2014,10
 4.0,8.4, 11.2,DCN,2014,11
 0.0,-9.7, -5.5,DCN,2014,12
 0.0,-9.0, -4.1,DCN,2015,01
 6.0,-0.8, 0.7,DCN,2015,02
 0.0,-2.5, 4.3,DCN,2015,03
 0.0,2.7, 9.1,DCN,2015,04
 5.0,7.6, 13.3,DCN,2015,05
 0.0,13.6, 23.9,DCN,2015,06
 0.0,16.9, 29.5,DCN,2015,07
 0.0,14.6, 33.3,DCN,2015,08
 0.0,12.0, 17.9,DCN,2015,09
 0.0,9.9, 17.9,DCN,2015,10
 16.0,5.2, 8.9,DCN,2015,11
 0.7,-2.0, -0.7,DCN,2015,12
 0.0,-10.7, -7.1,DCN,2016,01
 0.0,-0.4, 1.6,DCN,2016,02
 7.0,0.6, 1.9,DCN,2016,03
 0.0,3.8, 16.5,DCN,2016,04
 0.0,7.1, 21.3,DCN,2016,05
 0.0,11.1, 18.4,DCN,2016,06
 0.0,16.5, 25.8,DCN,2016,07
 0.0,11.4, 25.0,DCN,2016,08
 0.0,13.5, 23.9,DCN,2016,09
 29.0,8.4, 14.3,DCN,2016,10
 4.0,6.5, 9.6,DCN,2016,11
 0.0,2.4, 4.6,DCN,2016,12
 2.2,-7.6, -2.0,DCN,2017,01
 0.0,-10.7, -3.7,DCN,2017,02
 3.0,-2.7, 1.6,DCN,2017,03
 3.0,3.8, 8.9,DCN,2017,04
 3.2,4.5, 14.0,DCN,2017,05
 5.0,13.2, 17.4,DCN,2017,06
 0.0,17.6, 28.3,DCN,2017,07
 0.0,16.7, 30.4,DCN,2017,08
 0.0,13.7, 25.6,DCN,2017,09
 0.0,7.2, 14.4,DCN,2017,10
 4.0,1.7, 5.7,DCN,2017,11
 0.0,3.7, 5.4,DCN,2017,12
 0.0,-12.6, -7.8,DCN,2018,01
 5.0,-0.8, 0.8,DCN,2018,02
 0.0,-0.4, 3.7,DCN,2018,03
 0.0,-0.2, 2.9,DCN,2018,04
 1.0,6.3, 15.7,DCN,2018,05
 5.0,10.5, 16.3,DCN,2018,06
 8.0,11.4, 17.1,DCN,2018,07
 0.0,19.9, 31.7,DCN,2018,08
 0.0,12.0, 20.7,DCN,2018,09
 16.0,6.1, 9.7,DCN,2018,10
 11.0,6.6, 7.9,DCN,2018,11
 1.0,1.2, 4.0,DCN,2018,12
 0.0,-5.2, -1.2,DCN,2019,01
 12.0,-0.5, 3.1,DCN,2019,02
 0.0,-3.3, 0.6,DCN,2019,03
 0.0,3.6, 13.1,DCN,2019,04
 1.0,5.1, 12.9,DCN,2019,05
 0.0,14.3, 27.4,DCN,2019,06
 0.0,12.3, 23.5,DCN,2019,07
 0.0,14.6, 29.3,DCN,2019,08
 0.0,15.6, 23.0,DCN,2019,09
 0.0,4.2, 11.1,DCN,2019,10
 0.0,-1.9, 4.7,DCN,2019,11
 1.0,-4.0, -0.8,DCN,2019,12
 12.0,1.1, 2.6,DCN,2020,01
 9.4,-0.3, 7.3,DCN,2020,02
 0.0,0.9, 5.9,DCN,2020,03
 2.0,0.7, 4.9,DCN,2020,04
 0.0,5.0, 15.4,DCN,2020,05
 2.0,9.4, 15.9,DCN,2020,06
 0.0,12.5, 16.9,DCN,2020,07
 0.0,19.7, 29.4,DCN,2020,08
 0.0,15.1, 19.8,DCN,2020,09
 0.0,-1.2, 5.7,DCN,2021,11
 None,8.6, 10.9,DCN,2021,12
 None,-15.2, -8.0,DCN,2022,01
 None,-4.5, -1.0,DCN,2022,02
 None,1.2, 1.3,DCN,2022,03
 None,2.3, 10.7,DCN,2022,04
 None,7.0, 17.1,DCN,2022,05
 None,10.0, 23.0,DCN,2022,06
 None,14.0, 25.7,DCN,2022,07
 None,16.5, 31.8,DCN,2022,08
 None,16.7, 28.1,DCN,2022,09
 None,7.7, 20.7,DCN,2022,10
 None,2.9, 5.3,DCN,2022,11
 None,-11.0, -3.0,DCN,2022,12
 None,-0.1, 2.5,DCN,2023,01
 None,-3.3, 1.5,DCN,2023,03
 None,0.9, 4.9,DCN,2023,04
 None,6.7, 24.2,DCN,2023,05
 None,12.5, 25.5,DCN,2023,06
 None,16.0, 30.5,DCN,2023,07
 None,14.0, 29.4,DCN,2023,08
 None,13.8, 23.4,DCN,2023,09
 None,8.7, 15.2,DCN,2023,10
 None,-0.7, 4.3,DCN,2023,11
 None,-2.9, -1.0,DCN,2023,12
 0.1,-1.5, 4.2,CQM,2005,01
 3.6,3.7, 7.4,CQM,2005,02
 29.6,2.8, 6.8,CQM,2005,03
 46.9,2.0, 7.0,CQM,2005,04
 0.0,5.4, 19.8,CQM,2005,05
 9.3,10.0, 13.7,CQM,2005,06
 1.1,10.0, 14.1,CQM,2005,07
 2.3,9.1, 23.8,CQM,2005,08
 0.0,10.4, 22.4,CQM,2005,09
 6.0,5.4, 10.7,CQM,2005,10
 22.4,3.6, 6.8,CQM,2005,11
 0.6,-4.2, 0.1,CQM,2005,12
 31.6,4.2, 6.3,CQM,2006,01
 52.0,0.4, 3.7,CQM,2006,02
 1.0,-0.1, 3.0,CQM,2006,03
 7.2,0.3, 5.6,CQM,2006,04
 0.7,0.6, 12.3,CQM,2006,05
 31.9,10.3, 17.2,CQM,2006,06
 0.0,7.7, 27.9,CQM,2006,07
 0.0,8.8, 21.8,CQM,2006,08
 0.0,6.3, 26.4,CQM,2006,09
 0.0,4.5, 13.6,CQM,2006,10
 0.0,-3.6, 2.6,CQM,2006,11
 0.0,-3.5, -0.2,CQM,2006,12
 63.8,3.5, 8.2,CQM,2007,01
 0.0,-4.7, 0.0,CQM,2007,02
 0.0,-6.6, 1.4,CQM,2007,03
 4.5,-0.3, 4.4,CQM,2007,04
 2.4,5.3, 11.7,CQM,2007,05
 0.0,6.8, 28.6,CQM,2007,06
 0.0,5.4, 22.7,CQM,2007,07
 0.0,8.3, 28.6,CQM,2007,08
 0.0,7.6, 20.0,CQM,2007,09
 28.0,8.5, 10.2,CQM,2007,10
 1.2,-0.2, 6.9,CQM,2007,11
 11.4,-3.4, -2.6,CQM,2007,12
 0.0,-2.1, 0.5,CQM,2008,01
 5.4,-0.2, 1.6,CQM,2008,02
 5.9,-1.5, 4.2,CQM,2008,03
 0.0,-4.2, 6.5,CQM,2008,04
 3.8,-1.0, 6.3,CQM,2008,05
 4.8,7.3, 10.7,CQM,2008,06
 0.1,9.9, 26.3,CQM,2008,07
 22.8,9.7, 14.2,CQM,2008,08
 0.2,6.4, 15.3,CQM,2008,09
 0.0,7.5, 19.8,CQM,2008,10
 21.1,7.2, 10.2,CQM,2008,11
 9.0,4.2, 7.4,CQM,2008,12
 8.4,-0.6, -0.2,CQM,2009,01
 13.7,0.3, 0.9,CQM,2009,02
 28.3,0.6, 3.9,CQM,2009,03
 14.0,0.0, 2.8,CQM,2009,04
 0.0,-0.4, 18.7,CQM,2009,05
 0.0,7.6, 28.2,CQM,2009,06
 0.0,5.6, 26.9,CQM,2009,07
 0.0,14.5, 30.3,CQM,2009,08
 3.1,12.8, 18.3,CQM,2009,09
 18.2,6.6, 9.3,CQM,2009,10
 5.6,2.1, 7.7,CQM,2009,11
 0.0,-2.4, 3.7,CQM,2009,12
 92.8,1.1, 7.2,CQM,2010,01
 5.8,1.8, 7.2,CQM,2010,02
 0.0,2.4, 10.0,CQM,2010,03
 22.2,-1.1, 4.9,CQM,2010,04
 3.7,4.7, 12.9,CQM,2010,05
 8.4,9.4, 13.1,CQM,2010,06
 1.2,6.7, 13.0,CQM,2010,07
 0.4,14.0, 18.6,CQM,2010,08
 0.0,7.0, 19.1,CQM,2010,09
 0.0,7.5, 19.5,CQM,2010,10
 75.3,4.9, 10.4,CQM,2010,11
 12.7,-0.4, 0.8,CQM,2010,12
 0.0,-7.5, -3.1,CQM,2011,01
 0.0,-5.9, -0.9,CQM,2011,02
 12.0,-0.7, 1.4,CQM,2011,03
 7.0,1.6, 6.0,CQM,2011,04
 0.0,-1.2, 14.9,CQM,2011,05
 4.3,4.5, 14.2,CQM,2011,06
 0.0,5.6, 17.0,CQM,2011,07
 0.0,6.2, 24.8,CQM,2011,08
 0.0,9.1, 16.0,CQM,2011,09
 0.0,6.5, 11.5,CQM,2011,10
 0.1,-0.6, 6.6,CQM,2011,11
 0.0,-2.2, 0.3,CQM,2011,12
 0.0,-1.0, 1.4,CQM,2012,01
 15.9,-0.4, 1.5,CQM,2012,02
 0.0,-1.5, 1.9,CQM,2012,03
 17.8,0.1, 8.3,CQM,2012,04
 19.1,3.5, 6.9,CQM,2012,05
 22.5,7.5, 12.0,CQM,2012,06
 0.2,8.1, 14.6,CQM,2012,07
 0.0,9.3, 22.9,CQM,2012,08
 0.0,5.4, 20.1,CQM,2012,09
 1.5,7.6, 13.6,CQM,2012,10
 23.0,8.4, 10.9,CQM,2012,11
 67.2,4.8, 6.6,CQM,2012,12
 0.0,-4.5, -0.2,CQM,2013,01
 9.2,-0.9, 2.3,CQM,2013,02
 99.7,1.1, 5.1,CQM,2013,03
 0.0,-0.3, 15.0,CQM,2013,04
 0.0,-1.9, 16.4,CQM,2013,05
 0.0,5.7, 15.4,CQM,2013,06
 0.0,11.6, 33.0,CQM,2013,07
 2.7,14.1, 20.2,CQM,2013,08
 0.0,9.8, 24.1,CQM,2013,09
 31.3,5.0, 8.3,CQM,2013,10
 24.8,6.7, 8.5,CQM,2013,11
 19.6,2.8, 7.6,CQM,2013,12
 1.6,-0.3, 4.0,CQM,2014,01
 0.0,-4.0, 0.2,CQM,2014,02
 2.0,-0.4, 3.3,CQM,2014,03
 0.0,-0.5, 14.5,CQM,2014,04
 0.0,5.7, 27.0,CQM,2014,05
 0.0,6.2, 25.0,CQM,2014,06
 0.0,9.3, 32.9,CQM,2014,07
 0.0,12.2, 31.5,CQM,2014,08
 0.6,10.0, 17.1,CQM,2014,09
 0.0,6.2, 15.2,CQM,2014,10
 7.6,2.6, 8.0,CQM,2014,11
 0.0,-5.6, -2.9,CQM,2014,12
 0.0,-4.2, -0.5,CQM,2015,01
 16.1,3.9, 6.2,CQM,2015,02
 0.0,-1.6, 6.1,CQM,2015,03
 7.2,1.9, 9.0,CQM,2015,04
 0.4,4.6, 14.4,CQM,2015,05
 0.0,11.1, 19.8,CQM,2015,06
 0.0,13.5, 33.8,CQM,2015,07
 0.0,10.4, 31.4,CQM,2015,08
 19.5,11.5, 14.5,CQM,2015,09
 0.0,5.7, 19.0,CQM,2015,10
 39.0,5.1, 9.1,CQM,2015,11
 37.2,0.4, 1.3,CQM,2015,12
 0.0,-3.6, 1.2,CQM,2016,01
 2.0,0.1, 2.4,CQM,2016,02
 49.6,2.7, 7.9,CQM,2016,03
 0.0,3.2, 18.9,CQM,2016,04
 0.0,4.5, 25.0,CQM,2016,05
 17.0,10.3, 21.8,CQM,2016,06
 0.0,12.0, 19.5,CQM,2016,07
 1.0,10.2, 26.1,CQM,2016,08
 27.0,11.4, 15.1,CQM,2016,09
 15.0,5.7, 10.3,CQM,2016,10
 32.8,7.1, 9.1,CQM,2016,11
 4.3,3.3, 5.1,CQM,2016,12
 3.8,-3.7, -0.7,CQM,2017,01
 0.0,-4.6, 2.9,CQM,2017,02
 9.6,0.6, 2.2,CQM,2017,03
 15.3,1.6, 5.2,CQM,2017,04
 5.4,1.8, 8.2,CQM,2017,05
 11.5,9.2, 14.4,CQM,2017,06
 0.0,10.3, 24.5,CQM,2017,07
 0.0,11.9, 29.2,CQM,2017,08
 0.0,10.1, 26.9,CQM,2017,09
 1.0,5.6, 13.2,CQM,2017,10
 9.8,5.1, 9.7,CQM,2017,11
 57.5,0.6, 3.8,CQM,2017,12
 0.0,-3.7, -0.1,CQM,2018,01
 10.0,0.6, 1.5,CQM,2018,02
 6.4,-1.0, 2.5,CQM,2018,03
 4.0,0.3, 6.1,CQM,2018,04
 0.0,4.9, 18.1,CQM,2018,05
