Region,Municipality,Year,Total
1039,Invermere,2007,"  3,084"
1039,Invermere,2008,"  3,099"
1039,Invermere,2009,"  3,074"
1039,Invermere,2010,"  3,048"
1039,Invermere,2011,"  3,014"
1039,Invermere,2012,"  3,092"
1039,Invermere,2013,"  3,212"
1039,Invermere,2014,"  3,314"
1039,Invermere,2015,"  3,421"
1039,Invermere,2016,"  3,539"
1039,Invermere,2017,"  3,554"
1039,Invermere,2018,"  3,577"
1039,Invermere,2019,"  3,683"
1039,Invermere,2020,"  3,727"
1039,Invermere,2021,"  3,803"
1039,Invermere,2022,"  3,801"
1040,Radium Hot Springs,2005,    723
1040,Radium Hot Springs,2006,    753
1040,Radium Hot Springs,2007,    774
1040,Radium Hot Springs,2008,    823
1040,Radium Hot Springs,2009,    861
1040,Radium Hot Springs,2010,    833
1040,Radium Hot Springs,2011,    772
1040,Radium Hot Springs,2012,    794
1040,Radium Hot Springs,2013,    793
1040,Radium Hot Springs,2014,    803
1040,Radium Hot Springs,2015,    850
1040,Radium Hot Springs,2016,    794
1040,Radium Hot Springs,2017,    830
1040,Radium Hot Springs,2018,    791
1040,Radium Hot Springs,2019,    836
1040,Radium Hot Springs,2020,    852
1040,Radium Hot Springs,2021,    895
1040,Radium Hot Springs,2022,    976
1043,Canal Flats,2005,    720
1043,Canal Flats,2006,    707
1043,Canal Flats,2007,    757
1043,Canal Flats,2008,    769
1043,Canal Flats,2009,    771
1043,Canal Flats,2010,    747
1043,Canal Flats,2011,    724
1043,Canal Flats,2012,    714
1043,Canal Flats,2013,    716
1043,Canal Flats,2014,    721
1043,Canal Flats,2015,    701
1043,Canal Flats,2016,    689
1043,Canal Flats,2017,    701
1043,Canal Flats,2018,    711
1043,Canal Flats,2019,    725
1043,Canal Flats,2020,    723
1043,Canal Flats,2021,    748
1043,Canal Flats,2022,    744
15001,"Langley, District Municipality",2005," 95,108"
15001,"Langley, District Municipality",2006," 96,702"
15001,"Langley, District Municipality",2007," 98,165"
15001,"Langley, District Municipality",2008,"100,767"
15001,"Langley, District Municipality",2009,"102,918"
15001,"Langley, District Municipality",2010,"104,956"
15001,"Langley, District Municipality",2011,"106,578"
15001,"Langley, District Municipality",2012,"109,412"
15001,"Langley, District Municipality",2013,"112,508"
15001,"Langley, District Municipality",2014,"115,525"
15001,"Langley, District Municipality",2015,"119,071"
15001,"Langley, District Municipality",2016,"122,762"
15001,"Langley, District Municipality",2017,"126,212"
15001,"Langley, District Municipality",2018,"129,300"
15001,"Langley, District Municipality",2019,"131,454"
15001,"Langley, District Municipality",2020,"133,383"
15001,"Langley, District Municipality",2021,"135,482"
15001,"Langley, District Municipality",2022,"142,041"
15002,"Langley, City of",2005," 24,398"
15002,"Langley, City of",2006," 24,335"
15002,"Langley, City of",2007," 24,614"
15002,"Langley, City of",2008," 24,962"
15002,"Langley, City of",2009," 25,226"
15002,"Langley, City of",2010," 25,486"
15002,"Langley, City of",2011," 25,709"
15002,"Langley, City of",2012," 26,173"
15002,"Langley, City of",2013," 26,483"
15002,"Langley, City of",2014," 26,598"
15002,"Langley, City of",2015," 26,548"
15002,"Langley, City of",2016," 27,084"
15002,"Langley, City of",2017," 27,476"
15002,"Langley, City of",2018," 27,659"
15002,"Langley, City of",2019," 27,797"
15002,"Langley, City of",2020," 28,089"
15002,"Langley, City of",2021," 28,626"
15002,"Langley, City of",2022," 30,077"
15004,Surrey,2005,"398,152"
15004,Surrey,2006,"408,991"
15004,Surrey,2007,"420,359"
15004,Surrey,2008,"433,935"
15004,Surrey,2009,"449,350"
15004,Surrey,2010,"467,109"
15004,Surrey,2011,"481,669"
15004,Surrey,2012,"496,066"
15004,Surrey,2013,"507,908"
15004,Surrey,2014,"521,308"
15004,Surrey,2015,"531,929"
15004,Surrey,2016,"543,320"
15004,Surrey,2017,"556,178"
15004,Surrey,2018,"569,492"
15004,Surrey,2019,"586,915"
15004,Surrey,2020,"600,966"
15004,Surrey,2021,"611,572"
15004,Surrey,2022,"633,229"
15007,White Rock,2005," 19,050"
15007,White Rock,2006," 19,171"
15007,White Rock,2007," 19,032"
15007,White Rock,2008," 19,088"
15007,White Rock,2009," 19,432"
15007,White Rock,2010," 19,742"
15007,White Rock,2011," 19,520"
15007,White Rock,2012," 19,663"
15007,White Rock,2013," 19,711"
15007,White Rock,2014," 20,090"
15007,White Rock,2015," 20,352"
15007,White Rock,2016," 20,573"
15007,White Rock,2017," 20,787"
15007,White Rock,2018," 21,021"
15007,White Rock,2019," 21,055"
15007,White Rock,2020," 21,050"
15007,White Rock,2021," 21,160"
15007,White Rock,2022," 21,809"
15011,Delta,2005," 99,415"
15011,Delta,2006," 99,242"
15011,Delta,2007," 99,222"
15011,Delta,2008," 99,717"
15011,Delta,2009,"100,306"
15011,Delta,2010,"101,542"
15011,Delta,2011,"101,760"
15011,Delta,2012,"102,582"
15011,Delta,2013,"103,391"
15011,Delta,2014,"104,790"
15011,Delta,2015,"105,682"
15011,Delta,2016,"106,448"
15011,Delta,2017,"107,336"
15011,Delta,2018,"108,919"
15011,Delta,2019,"110,261"
15011,Delta,2020,"111,455"
15011,Delta,2021,"111,879"
15011,Delta,2022,"113,355"
15015,Richmond,2005,"177,777"
15015,Richmond,2006,"180,222"
15015,Richmond,2007,"183,506"
15015,Richmond,2008,"186,724"
15015,Richmond,2009,"190,917"
15015,Richmond,2010,"194,393"
15015,Richmond,2011,"194,814"
15015,Richmond,2012,"196,741"
15015,Richmond,2013,"200,038"
15015,Richmond,2014,"202,771"
15015,Richmond,2015,"205,068"
15015,Richmond,2016,"207,264"
15015,Richmond,2017,"208,506"
15015,Richmond,2018,"210,805"
15015,Richmond,2019,"213,874"
15015,Richmond,2020,"215,150"
15015,Richmond,2021,"216,760"
15015,Richmond,2022,"222,954"
15022,Vancouver,2005,"592,175"
15022,Vancouver,2006,"599,884"
15022,Vancouver,2007,"602,828"
15022,Vancouver,2008,"606,245"
15022,Vancouver,2009,"615,216"
15022,Vancouver,2010,"618,845"
15022,Vancouver,2011,"621,930"
15022,Vancouver,2012,"631,182"
15022,Vancouver,2013,"641,661"
15022,Vancouver,2014,"651,655"
15022,Vancouver,2015,"658,625"
15022,Vancouver,2016,"664,151"
15022,Vancouver,2017,"669,700"
15022,Vancouver,2018,"678,298"
15022,Vancouver,2019,"692,958"
15022,Vancouver,2020,"699,257"
15022,Vancouver,2021,"694,360"
15022,Vancouver,2022,"706,011"
15025,Burnaby,2005,"207,770"
15025,Burnaby,2006,"210,037"
15025,Burnaby,2007,"214,296"
15025,Burnaby,2008,"218,115"
15025,Burnaby,2009,"222,934"
15025,Burnaby,2010,"226,389"
15025,Burnaby,2011,"229,467"
15025,Burnaby,2012,"233,540"
15025,Burnaby,2013,"235,764"
15025,Burnaby,2014,"240,046"
15025,Burnaby,2015,"241,528"
15025,Burnaby,2016,"244,274"
15025,Burnaby,2017,"246,209"
15025,Burnaby,2018,"249,683"
15025,Burnaby,2019,"254,518"
15025,Burnaby,2020,"257,837"
15025,Burnaby,2021,"260,946"
15025,Burnaby,2022,"270,264"
15029,New Westminster,2005," 59,733"
15029,New Westminster,2006," 60,647"
15029,New Westminster,2007," 61,926"
15029,New Westminster,2008," 63,659"
15029,New Westminster,2009," 65,224"
15029,New Westminster,2010," 66,832"
15029,New Westminster,2011," 67,881"
15029,New Westminster,2012," 69,549"
15029,New Westminster,2013," 69,340"
15029,New Westminster,2014," 71,530"
15029,New Westminster,2015," 72,923"
15029,New Westminster,2016," 74,707"
15029,New Westminster,2017," 76,282"
15029,New Westminster,2018," 78,297"
15029,New Westminster,2019," 80,361"
15029,New Westminster,2020," 82,523"
15029,New Westminster,2021," 83,486"
15029,New Westminster,2022," 85,700"
15034,Coquitlam,2005,"118,179"
15034,Coquitlam,2006,"118,615"
15034,Coquitlam,2007,"119,032"
15034,Coquitlam,2008,"120,621"
15034,Coquitlam,2009,"123,937"
15034,Coquitlam,2010,"127,536"
15034,Coquitlam,2011,"130,448"
15034,Coquitlam,2012,"133,919"
15034,Coquitlam,2013,"137,598"
15034,Coquitlam,2014,"140,956"
15034,Coquitlam,2015,"143,978"
15034,Coquitlam,2016,"145,958"
15034,Coquitlam,2017,"147,988"
15034,Coquitlam,2018,"149,247"
15034,Coquitlam,2019,"150,710"
15034,Coquitlam,2020,"152,309"
15034,Coquitlam,2021,"154,281"
15034,Coquitlam,2022,"159,291"
15036,Belcarra,2005,    699
15036,Belcarra,2006,    697
15036,Belcarra,2007,    693
15036,Belcarra,2008,    658
15036,Belcarra,2009,    660
15036,Belcarra,2010,    661
15036,Belcarra,2011,    659
15036,Belcarra,2012,    655
15036,Belcarra,2013,    675
15036,Belcarra,2014,    669
15036,Belcarra,2015,    662
15036,Belcarra,2016,    671
15036,Belcarra,2017,    683
15036,Belcarra,2018,    685
15036,Belcarra,2019,    666
15036,Belcarra,2020,    670
15036,Belcarra,2021,    687
15036,Belcarra,2022,    713
15038,Anmore,2005,"  1,746"
15038,Anmore,2006,"  1,855"
15038,Anmore,2007,"  1,962"
15038,Anmore,2008,"  2,051"
15038,Anmore,2009,"  2,085"
15038,Anmore,2010,"  2,091"
15038,Anmore,2011,"  2,138"
15038,Anmore,2012,"  2,231"
15038,Anmore,2013,"  2,240"
15038,Anmore,2014,"  2,292"
15038,Anmore,2015,"  2,306"
15038,Anmore,2016,"  2,311"
15038,Anmore,2017,"  2,441"
15038,Anmore,2018,"  2,434"
15038,Anmore,2019,"  2,486"
15038,Anmore,2020,"  2,486"
15038,Anmore,2021,"  2,507"
15038,Anmore,2022,"  2,489"
15039,Port Coquitlam,2005," 53,910"
15039,Port Coquitlam,2006," 53,993"
15039,Port Coquitlam,2007," 54,231"
15039,Port Coquitlam,2008," 55,223"
15039,Port Coquitlam,2009," 55,935"
15039,Port Coquitlam,2010," 56,627"
15039,Port Coquitlam,2011," 56,964"
15039,Port Coquitlam,2012," 57,734"
15039,Port Coquitlam,2013," 58,365"
15039,Port Coquitlam,2014," 59,249"
15039,Port Coquitlam,2015," 60,460"
15039,Port Coquitlam,2016," 61,443"
15039,Port Coquitlam,2017," 61,955"
15039,Port Coquitlam,2018," 62,940"
15039,Port Coquitlam,2019," 63,717"
15039,Port Coquitlam,2020," 63,796"
15039,Port Coquitlam,2021," 63,795"
15039,Port Coquitlam,2022," 65,244"
15043,Port Moody,2005," 27,662"
15043,Port Moody,2006," 28,609"
15043,Port Moody,2007," 29,760"
15043,Port Moody,2008," 31,045"
15043,Port Moody,2009," 32,628"
15043,Port Moody,2010," 33,531"
15043,Port Moody,2011," 33,889"
15043,Port Moody,2012," 34,164"
15043,Port Moody,2013," 34,509"
15043,Port Moody,2014," 35,124"
15043,Port Moody,2015," 35,403"
15043,Port Moody,2016," 35,027"
15043,Port Moody,2017," 34,968"
15043,Port Moody,2018," 35,182"
15043,Port Moody,2019," 35,305"
15043,Port Moody,2020," 35,262"
15043,Port Moody,2021," 35,413"
15043,Port Moody,2022," 36,786"
15046,"North Vancouver, District Municipality",2005," 84,680"
15046,"North Vancouver, District Municipality",2006," 84,685"
15046,"North Vancouver, District Municipality",2007," 84,480"
15046,"North Vancouver, District Municipality",2008," 84,690"
15046,"North Vancouver, District Municipality",2009," 85,158"
15046,"North Vancouver, District Municipality",2010," 85,613"
15046,"North Vancouver, District Municipality",2011," 85,945"
15046,"North Vancouver, District Municipality",2012," 86,531"
15046,"North Vancouver, District Municipality",2013," 87,256"
15046,"North Vancouver, District Municipality",2014," 87,958"
15046,"North Vancouver, District Municipality",2015," 88,547"
15046,"North Vancouver, District Municipality",2016," 89,546"
15046,"North Vancouver, District Municipality",2017," 89,749"
15046,"North Vancouver, District Municipality",2018," 89,890"
15046,"North Vancouver, District Municipality",2019," 90,352"
15046,"North Vancouver, District Municipality",2020," 90,442"
15046,"North Vancouver, District Municipality",2021," 90,843"
15046,"North Vancouver, District Municipality",2022," 92,391"
15051,"North Vancouver, City of",2005," 46,447"
15051,"North Vancouver, City of",2006," 46,693"
15051,"North Vancouver, City of",2007," 46,760"
15051,"North Vancouver, City of",2008," 47,531"
15051,"North Vancouver, City of",2009," 48,083"
15051,"North Vancouver, City of",2010," 48,831"
15051,"North Vancouver, City of",2011," 49,509"
15051,"North Vancouver, City of",2012," 50,353"
15051,"North Vancouver, City of",2013," 51,330"
15051,"North Vancouver, City of",2014," 52,965"
15051,"North Vancouver, City of",2015," 54,886"
15051,"North Vancouver, City of",2016," 55,417"
15051,"North Vancouver, City of",2017," 56,011"
15051,"North Vancouver, City of",2018," 57,111"
15051,"North Vancouver, City of",2019," 57,856"
15051,"North Vancouver, City of",2020," 58,677"
15051,"North Vancouver, City of",2021," 59,825"
15051,"North Vancouver, City of",2022," 61,975"
15055,West Vancouver,2005," 42,833"
15055,West Vancouver,2006," 43,003"
15055,West Vancouver,2007," 43,169"
15055,West Vancouver,2008," 42,745"
15055,West Vancouver,2009," 43,036"
15055,West Vancouver,2010," 43,373"
15055,West Vancouver,2011," 43,208"
15055,West Vancouver,2012," 43,349"
15055,West Vancouver,2013," 43,560"
15055,West Vancouver,2014," 43,689"
15055,West Vancouver,2015," 43,898"
15055,West Vancouver,2016," 43,842"
15055,West Vancouver,2017," 43,784"
15055,West Vancouver,2018," 43,839"
15055,West Vancouver,2019," 44,181"
15055,West Vancouver,2020," 44,564"
15055,West Vancouver,2021," 44,860"
15055,West Vancouver,2022," 45,408"
15062,Bowen Island,2005,"  3,343"
15062,Bowen Island,2006,"  3,442"
15062,Bowen Island,2007,"  3,452"
15062,Bowen Island,2008,"  3,409"
15062,Bowen Island,2009,"  3,419"
15062,Bowen Island,2010,"  3,469"
15062,Bowen Island,2011,"  3,447"
15062,Bowen Island,2012,"  3,607"
15062,Bowen Island,2013,"  3,665"
15062,Bowen Island,2014,"  3,684"
15062,Bowen Island,2015,"  3,756"
15062,Bowen Island,2016,"  3,807"
15062,Bowen Island,2017,"  3,923"
15062,Bowen Island,2018,"  3,984"
15062,Bowen Island,2019,"  3,980"
15062,Bowen Island,2020,"  3,956"
15062,Bowen Island,2021,"  4,068"
15062,Bowen Island,2022,"  4,061"
15065,Lions Bay,2005,"  1,367"
15065,Lions Bay,2006,"  1,348"
15065,Lions Bay,2007,"  1,351"
15065,Lions Bay,2008,"  1,347"
15065,Lions Bay,2009,"  1,321"
15065,Lions Bay,2010,"  1,334"
15065,Lions Bay,2011,"  1,333"
15065,Lions Bay,2012,"  1,316"
15065,Lions Bay,2013,"  1,287"
15065,Lions Bay,2014,"  1,338"
15065,Lions Bay,2015,"  1,368"
15065,Lions Bay,2016,"  1,376"
15065,Lions Bay,2017,"  1,381"
15065,Lions Bay,2018,"  1,370"
15065,Lions Bay,2019,"  1,363"
15065,Lions Bay,2020,"  1,357"
15065,Lions Bay,2021,"  1,325"
15065,Lions Bay,2022,"  1,335"
15070,Pitt Meadows,2005," 15,921"
15070,Pitt Meadows,2006," 16,154"
15070,Pitt Meadows,2007," 16,480"
15070,Pitt Meadows,2008," 17,240"
15070,Pitt Meadows,2009," 17,797"
15070,Pitt Meadows,2010," 17,929"
15070,Pitt Meadows,2011," 18,158"
15070,Pitt Meadows,2012," 18,393"
15070,Pitt Meadows,2013," 18,565"
15070,Pitt Meadows,2014," 18,911"
15070,Pitt Meadows,2015," 19,189"
15070,Pitt Meadows,2016," 19,409"
15070,Pitt Meadows,2017," 19,774"
15070,Pitt Meadows,2018," 19,941"
15070,Pitt Meadows,2019," 19,935"
15070,Pitt Meadows,2020," 19,843"
15070,Pitt Meadows,2021," 19,885"
15070,Pitt Meadows,2022," 20,392"
15075,Maple Ridge,2005," 69,855"
15075,Maple Ridge,2006," 71,046"
15075,Maple Ridge,2007," 72,040"
15075,Maple Ridge,2008," 73,646"
15075,Maple Ridge,2009," 74,851"
15075,Maple Ridge,2010," 76,580"
15075,Maple Ridge,2011," 77,846"
15075,Maple Ridge,2012," 79,044"
15075,Maple Ridge,2013," 79,877"
15075,Maple Ridge,2014," 81,469"
15075,Maple Ridge,2015," 83,443"
15075,Maple Ridge,2016," 86,269"
15075,Maple Ridge,2017," 88,566"
15075,Maple Ridge,2018," 90,843"
15075,Maple Ridge,2019," 91,407"
15075,Maple Ridge,2020," 91,832"
15075,Maple Ridge,2021," 93,628"
15075,Maple Ridge,2022," 96,378"
15999,Unincorporated Areas - Greater Vancouver,2005," 18,675"
15999,Unincorporated Areas - Greater Vancouver,2006," 19,476"
15999,Unincorporated Areas - Greater Vancouver,2007," 19,829"
15999,Unincorporated Areas - Greater Vancouver,2008," 20,222"
15999,Unincorporated Areas - Greater Vancouver,2009," 20,790"
15999,Unincorporated Areas - Greater Vancouver,2010," 21,354"
15999,Unincorporated Areas - Greater Vancouver,2011," 21,882"
15999,Unincorporated Areas - Greater Vancouver,2012," 22,830"
15999,Unincorporated Areas - Greater Vancouver,2013," 23,765"
15999,Unincorporated Areas - Greater Vancouver,2014," 24,847"
15999,Unincorporated Areas - Greater Vancouver,2015," 24,891"
15999,Unincorporated Areas - Greater Vancouver,2016," 26,548"
15999,Unincorporated Areas - Greater Vancouver,2017," 27,004"
15999,Unincorporated Areas - Greater Vancouver,2018," 27,654"
15999,Unincorporated Areas - Greater Vancouver,2019," 28,134"
15999,Unincorporated Areas - Greater Vancouver,2020," 28,870"
15999,Unincorporated Areas - Greater Vancouver,2021," 29,551"
15999,Unincorporated Areas - Greater Vancouver,2022," 30,817"
17005,North Saanich,2005," 10,947"
17005,North Saanich,2006," 11,013"
17005,North Saanich,2007," 10,954"
17005,North Saanich,2008," 10,936"
17005,North Saanich,2009," 10,973"
17005,North Saanich,2010," 11,076"
17005,North Saanich,2011," 11,199"
17005,North Saanich,2012," 11,278"
17005,North Saanich,2013," 11,365"
17005,North Saanich,2014," 11,403"
17005,North Saanich,2015," 11,424"
17005,North Saanich,2016," 11,605"
17005,North Saanich,2017," 11,627"
17005,North Saanich,2018," 11,773"
17005,North Saanich,2019," 11,901"
17005,North Saanich,2020," 12,079"
17005,North Saanich,2021," 12,399"
17005,North Saanich,2022," 12,672"
17010,Sidney,2005," 11,469"
17010,Sidney,2006," 11,479"
17010,Sidney,2007," 11,409"
17010,Sidney,2008," 11,531"
17010,Sidney,2009," 11,439"
17010,Sidney,2010," 11,420"
17010,Sidney,2011," 11,246"
17010,Sidney,2012," 11,424"
17010,Sidney,2013," 11,425"
17010,Sidney,2014," 11,601"
17010,Sidney,2015," 11,768"
17010,Sidney,2016," 11,987"
17010,Sidney,2017," 12,115"
17010,Sidney,2018," 12,197"
17010,Sidney,2019," 12,165"
17010,Sidney,2020," 12,236"
17010,Sidney,2021," 12,233"
17010,Sidney,2022," 12,572"
17015,Central Saanich,2005," 16,012"
17015,Central Saanich,2006," 16,110"
17015,Central Saanich,2007," 16,144"
17015,Central Saanich,2008," 16,173"
17015,Central Saanich,2009," 16,212"
17015,Central Saanich,2010," 16,205"
17015,Central Saanich,2011," 16,137"
17015,Central Saanich,2012," 16,343"
17015,Central Saanich,2013," 16,506"
17015,Central Saanich,2014," 16,705"
17015,Central Saanich,2015," 16,982"
17015,Central Saanich,2016," 17,462"
17015,Central Saanich,2017," 17,743"
17015,Central Saanich,2018," 18,049"
17015,Central Saanich,2019," 18,172"
17015,Central Saanich,2020," 18,414"
17015,Central Saanich,2021," 18,481"
17015,Central Saanich,2022," 18,695"
17021,Saanich,2005,"110,189"
17021,Saanich,2006,"111,292"
17021,Saanich,2007,"111,084"
17021,Saanich,2008,"111,527"
17021,Saanich,2009,"112,246"
17021,Saanich,2010,"112,366"
17021,Saanich,2011,"111,821"
17021,Saanich,2012,"113,149"
17021,Saanich,2013,"114,990"
17021,Saanich,2014,"115,974"
17021,Saanich,2015,"117,166"
17021,Saanich,2016,"119,208"
17021,Saanich,2017,"120,374"
17021,Saanich,2018,"121,289"
17021,Saanich,2019,"123,235"
17021,Saanich,2020,"124,497"
17021,Saanich,2021,"125,174"
17021,Saanich,2022,"125,856"
17030,Oak Bay,2005," 18,248"
17030,Oak Bay,2006," 18,236"
17030,Oak Bay,2007," 18,384"
17030,Oak Bay,2008," 18,330"
17030,Oak Bay,2009," 18,362"
17030,Oak Bay,2010," 18,386"
17030,Oak Bay,2011," 18,171"
17030,Oak Bay,2012," 18,379"
17030,Oak Bay,2013," 18,587"
17030,Oak Bay,2014," 18,624"
17030,Oak Bay,2015," 18,450"
17030,Oak Bay,2016," 18,663"
17030,Oak Bay,2017," 18,477"
17030,Oak Bay,2018," 18,608"
17030,Oak Bay,2019," 18,634"
17030,Oak Bay,2020," 18,830"
17030,Oak Bay,2021," 18,987"
17030,Oak Bay,2022," 19,211"
17034,Victoria,2005," 79,779"
17034,Victoria,2006," 80,834"
17034,Victoria,2007," 80,914"
17034,Victoria,2008," 81,227"
17034,Victoria,2009," 81,875"
17034,Victoria,2010," 82,269"
17034,Victoria,2011," 82,341"
17034,Victoria,2012," 83,359"
17034,Victoria,2013," 85,125"
17034,Victoria,2014," 86,528"
17034,Victoria,2015," 88,476"
17034,Victoria,2016," 90,160"
17034,Victoria,2017," 91,383"
17034,Victoria,2018," 92,862"
17034,Victoria,2019," 94,613"
17034,Victoria,2020," 94,854"
17034,Victoria,2021," 94,424"
17034,Victoria,2022," 96,377"
17040,Esquimalt,2005," 17,211"
17040,Esquimalt,2006," 17,337"
17040,Esquimalt,2007," 17,367"
17040,Esquimalt,2008," 16,955"
17040,Esquimalt,2009," 16,936"
17040,Esquimalt,2010," 16,736"
17040,Esquimalt,2011," 16,606"
17040,Esquimalt,2012," 17,233"
17040,Esquimalt,2013," 17,400"
17040,Esquimalt,2014," 17,757"
17040,Esquimalt,2015," 18,048"
17040,Esquimalt,2016," 18,539"
17040,Esquimalt,2017," 18,484"
17040,Esquimalt,2018," 18,805"
17040,Esquimalt,2019," 18,968"
17040,Esquimalt,2020," 18,897"
17040,Esquimalt,2021," 18,754"
17040,Esquimalt,2022," 19,153"
17041,Colwood,2005," 14,936"
17041,Colwood,2006," 15,137"
17041,Colwood,2007," 15,444"
17041,Colwood,2008," 15,776"
17041,Colwood,2009," 16,059"
17041,Colwood,2010," 16,380"
17041,Colwood,2011," 16,435"
17041,Colwood,2012," 16,637"
17041,Colwood,2013," 16,830"
17041,Colwood,2014," 16,975"
17041,Colwood,2015," 17,106"
17041,Colwood,2016," 17,667"
17041,Colwood,2017," 17,957"
17041,Colwood,2018," 18,355"
17041,Colwood,2019," 18,914"
17041,Colwood,2020," 19,362"
17041,Colwood,2021," 19,833"
17041,Colwood,2022," 20,772"
17042,Metchosin,2005,"  4,908"
17042,Metchosin,2006,"  4,912"
17042,Metchosin,2007,"  4,851"
17042,Metchosin,2008,"  4,910"
17042,Metchosin,2009,"  4,806"
17042,Metchosin,2010,"  4,909"
17042,Metchosin,2011,"  4,851"
17042,Metchosin,2012,"  4,928"
17042,Metchosin,2013,"  4,917"
17042,Metchosin,2014,"  4,872"
17042,Metchosin,2015,"  4,854"
17042,Metchosin,2016,"  4,906"
17042,Metchosin,2017,"  4,989"
17042,Metchosin,2018,"  5,118"
17042,Metchosin,2019,"  5,119"
17042,Metchosin,2020,"  5,085"
17042,Metchosin,2021,"  5,086"
17042,Metchosin,2022,"  5,138"
17044,Langford,2005," 22,389"
17044,Langford,2006," 23,268"
17044,Langford,2007," 24,618"
17044,Langford,2008," 25,645"
17044,Langford,2009," 27,228"
17044,Langford,2010," 28,987"
17044,Langford,2011," 30,156"
17044,Langford,2012," 31,702"
17044,Langford,2013," 33,179"
17044,Langford,2014," 34,301"
17044,Langford,2015," 35,702"
17044,Langford,2016," 37,230"
17044,Langford,2017," 39,041"
17044,Langford,2018," 40,628"
17044,Langford,2019," 42,016"
17044,Langford,2020," 44,400"
17044,Langford,2021," 46,803"
17044,Langford,2022," 49,342"
17047,View Royal,2005,"  8,664"
17047,View Royal,2006,"  9,020"
17047,View Royal,2007,"  9,024"
17047,View Royal,2008,"  9,224"
17047,View Royal,2009,"  9,344"
17047,View Royal,2010,"  9,449"
17047,View Royal,2011,"  9,554"
17047,View Royal,2012,"  9,863"
17047,View Royal,2013," 10,052"
17047,View Royal,2014," 10,559"
17047,View Royal,2015," 10,675"
17047,View Royal,2016," 10,862"
17047,View Royal,2017," 11,178"
17047,View Royal,2018," 11,317"
17047,View Royal,2019," 11,576"
17047,View Royal,2020," 11,835"
17047,View Royal,2021," 12,017"
